Founding_Year,Job_Title,Salary_Estimate_k,Rating,Company_Name,Location,Size,Type_ownership,Industry,Sector
1966,Systems Analyst,64,4.1,"Kforce
4.1","Los Angeles, CA",1000,Company - Public,Staffing & Outsourcing,Business Services
2000,Data Analyst,64,3.7,"iSpace, Inc.
3.7","Glendale, CA",1000,Company - Private,IT Services,Information Technology
1965,Management Analyst,64,3.3,"Department Of Housing And Urban Development
3.3","Los Angeles, CA",1000,Government,Federal Agencies,Government
2008,Junior Data Analyst,64,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1913,Research Operations Analyst,64,3.3,"City of Hope
3.3","Duarte, CA",1000,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1951,Application Support Analyst (Temp / Direct Hire),64,3.7,"Paul Hastings
3.7","Los Angeles, CA",1000,Company - Private,Legal,Accounting & Legal
1988,Project Analyst,64,3.5,"E2 Consulting Engineers, Inc.
3.5","Los Angeles, CA",1000,Company - Private,Architectural & Engineering Services,Business Services
2008,Business Analyst-Entry level,64,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1868,Senior Budget Analyst,64,4.2,"University of California
4.2","Los Angeles, CA",1000,College / University,Colleges & Universities,Education
Investment Banking & Asset Management,RPA/UI Path Business Analyst,64,4,"Lorven Technologies Inc
4.0","Burbank, CA",1000,Company - Private,Accounting,Accounting & Legal
2012,Sr. Business Analyst,64,3.2,"Radiology Partners
3.2","El Segundo, CA",1000,Company - Private,Health Care Services & Hospitals,Health Care
1989,"Business Analyst, Transaction Advisory Services (Operational Transaction Services - Supply Chain) (Manager) (Multiple Positions)",64,3.8,"EY
3.8","Los Angeles, CA",1000,Company - Private,Accounting,Accounting & Legal
1979,Data Analyst,64,3.2,"Activision Publishing
3.2","Santa Monica, CA",1000,Subsidiary_ Business_Segment,Video Games,Media
Investment Banking & Asset Management,Jr. Data Analyst,100,3.8,"Login Consulting Services
3.8","El Segundo, CA",1000,Company - Private,Consulting,Business Services
1987,Data Analyst,100,3.4,"Gilead Sciences
3.4","Santa Monica, CA",1000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
2012,Order Management Analyst,100,3.1,"Sugarfina
3.1","El Segundo, CA",1000,Company - Private,Other Retail Stores,Retail
2015,"Business Analytics Manager, Partnerships and Startup Program",100,4.5,"Miro
4.5","Los Angeles, CA",1000,Company - Private,Computer Hardware & Software,Information Technology
2015,"Business Analytics Manager, Enterprise Marketing",100,4.5,"Miro
4.5","Los Angeles, CA",1000,Company - Private,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,systems Analyst 1596 (d),100,3.6,"The City of Los Angeles
3.6","Los Angeles, CA",1000,Government,Municipal Governments,Government
Investment Banking & Asset Management,Business Intelligence Analyst/ Credit Risk Analyst,100,2,"Golden State Bank
2.0","Glendale, CA",1000,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1973,Financial Analyst,100,3.6,"LRW
3.6","Los Angeles, CA",1000,Company - Private,Advertising & Marketing,Business Services
Investment Banking & Asset Management,Operations Analyst,100,Investment Banking & Asset Management,101 Commerce,"Los Angeles, CA",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2019,Strategic Planning Analyst,100,3.6,"ViacomCBS Inc.
3.6","Los Angeles, CA",1000,Company - Public,Motion Picture Production & Distribution,Media
Investment Banking & Asset Management,Business Process Analyst Corporate,100,Investment Banking & Asset Management,Volunteers of America - Greater Los Angeles,"Los Angeles, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2008,Jr.Business Analyst,100,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1902,CS-Link Ambulatory Application Analyst,100,3.9,"Cedars-Sinai
3.9","Los Angeles, CA",1000,Nonprofit Organization,Health Care Services & Hospitals,Health Care
2008,Jr Business Analyst,100,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
2013,"Sr. Business Analyst, Data Science and Analytics",100,3,"Beauty Counter
3.0","Santa Monica, CA",1000,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Investment Banking & Asset Management,Data Analyst,85,4,"Lorven Technologies Inc
4.0","Los Angeles, CA",1000,Company - Private,Accounting,Accounting & Legal
Investment Banking & Asset Management,Data Analyst,85,4.8,"EP Wealth Advisors
4.8","Torrance, CA",1000,Company - Private,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Product Analyst,85,Investment Banking & Asset Management,InStride,"Los Angeles, CA",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2003,Business Analyst - Behavioral Healthcare Billing,85,2.9,"Streamline Healthcare
2.9","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Management Analyst,85,5,"Moving Company Los Angeles
5.0","Los Angeles, CA",1000,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1980,"Marketing Data Analyst, Teleflora",85,3.6,"The Wonderful Company
3.6","Los Angeles, CA",1000,Company - Private,Consumer Products Manufacturing,Manufacturing
1997,Business Intelligence,85,3.5,"CompQsoft
3.5","Los Angeles, CA",1000,Company - Private,Consulting,Business Services
2006,Clinical Business Operations Analyst,85,3.7,"Episource
3.7","Gardena, CA",1000,Company - Private,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,Data Analyst,85,Investment Banking & Asset Management,Eleven Recruiting - CHURN,"Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Management Analyst,85,3.4,"Department of Defense
3.4","El Segundo, CA",1000,Government,Federal Agencies,Government
Investment Banking & Asset Management,Management Analyst,85,3.7,"City of Downey
3.7","Downey, CA",1000,Government,Municipal Governments,Government
1991,LEAD BUSINESS ANALYST,85,3.5,"HCL Technologies
3.5","Los Angeles, CA",1000,Company - Public,Computer Hardware & Software,Information Technology
2006,Sr. Business Systems Analyst - Insurance,85,3.5,"Genuent Global, LLC
3.5","Brea, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
2006,Project Analyst,85,3.7,"Episource LLC
3.7","Gardena, CA",1000,Company - Private,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,PeopleSoft Financials Business Analyst,85,2.6,"Delta Computer Consulting
2.6","Torrance, CA",1000,Contract,Computer Hardware & Software,Information Technology
1978,Marketing Analyst,85,4,"Curacao
4.0","Los Angeles, CA",1000,Company - Private,General Merchandise & Superstores,Retail
1948,Data Analyst,85,3.5,"Robert Half
3.5","El Segundo, CA",1000,Company - Public,Staffing & Outsourcing,Business Services
2008,Data Analyst,85,3.4,"Kite Pharma
3.4","Santa Monica, CA",1000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
1967,Senior Business Analyst – Business Relationship Management,85,3.4,"NTT DATA Services
3.4","Culver City, CA",1000,Company - Public,IT Services,Information Technology
2000,Data Analyst,85,3.6,"ICONMA
3.6","Culver City, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
